date;time;crdeadid;crdeadname;killerid;killername;mapid;mapproto;
4.9.2018;16:13:39 ;5000035;Npc (arroyo_klint, 5000035);36;gggg34dfgdfgdf;6;500
4.9.2018;16:15:15 ;5000035;Npc (arroyo_klint, 5000035);36;gggg34dfgdfgdf;6;500
4.9.2018;16:16:39 ;5000035;Npc (arroyo_klint, 5000035);36;gggg34dfgdfgdf;6;500;
4.9.2018;16:41:22 ;36;gggg34dfgdfgdf;0;null;6;500;
4.9.2018;16:42:02 ;36;gggg34dfgdfgdf;0;null;6;500;
4.9.2018;16:43:02 ;36;gggg34dfgdfgdf;0;null;6;500;
4.9.2018;16:44:14 ;36;gggg34dfgdfgdf;0;null;6;500;
4.9.2018;16:45:04 ;37;zzzfsdfsdfsdf;0;null;7;500;
4.9.2018;16:49:22 ;37;zzzfsdfsdfsdf;0;null;7;500;
4.9.2018;16:55:56 ;37;zzzfsdfsdfsdf;0;null;8;501;
4.9.2018;17:02:43 ;37;zzzfsdfsdfsdf;0;null;8;501;
4.9.2018;17:05:42 ;37;zzzfsdfsdfsdf;5000039;Npc (5000039);8;501;
4.9.2018;17:09:03 ;37;zzzfsdfsdfsdf;0;null;8;501;
4.9.2018;17:09:33 ;37;zzzfsdfsdfsdf;0;null;8;501;
4.9.2018;17:13:43 ;37;zzzfsdfsdfsdf;0;null;8;501;
4.9.2018;17:16:04 ;37;zzzfsdfsdfsdf;0;null;8;501;
4.9.2018;17:16:44 ;37;zzzfsdfsdfsdf;0;null;8;501;
4.9.2018;17:19:44 ;37;zzzfsdfsdfsdf;0;null;8;501;
4.9.2018;17:21:14 ;37;zzzfsdfsdfsdf;0;null;8;501;
4.9.2018;17:24:06 ;37;zzzfsdfsdfsdf;0;null;8;501;
4.9.2018;17:26:26 ;37;zzzfsdfsdfsdf;0;null;8;501;
4.9.2018;17:28:26 ;37;zzzfsdfsdfsdf;0;null;8;501;
4.9.2018;17:34:44 ;37;zzzfsdfsdfsdf;0;null;8;501;
4.9.2018;18:05:52 ;37;zzzfsdfsdfsdf;5000041;Npc (5000041);8;501;
4.9.2018;18:50:00 ;5000041;Npc (5000041);37;zzzfsdfsdfsdf;8;501;
4.9.2018;18:50:04 ;5000040;Npc (5000040);37;zzzfsdfsdfsdf;8;501;
4.9.2018;18:57:33 ;5000041;Npc (5000041);37;zzzfsdfsdfsdf;8;501;
4.9.2018;18:57:44 ;5000040;Npc (5000040);37;zzzfsdfsdfsdf;8;501;
4.9.2018;19:55:20 ;37;zzzfsdfsdfsdf;5000041;Npc (5000041);8;501;
4.9.2018;21:08:05 ;5000042;Npc (5000042);38;zfgggggdfgdfgd;9;500;
4.9.2018;21:09:49 ;38;zfgggggdfgdfgd;5000042;Npc (5000042);9;500;
4.9.2018;21:10:18 ;5000042;Npc (5000042);38;zfgggggdfgdfgd;9;500;
4.9.2018;21:41:24 ;38;zfgggggdfgdfgd;5000042;Npc (5000042);9;500;
4.9.2018;21:41:38 ;38;zfgggggdfgdfgd;5000042;Npc (5000042);9;500;
4.9.2018;21:41:51 ;38;zfgggggdfgdfgd;5000042;Npc (5000042);9;500;
4.9.2018;21:42:13 ;38;zfgggggdfgdfgd;5000042;Npc (5000042);9;500;
4.9.2018;21:42:23 ;38;zfgggggdfgdfgd;5000042;Npc (5000042);9;500;
4.9.2018;21:42:54 ;5000042;Npc (5000042);38;zfgggggdfgdfgd;9;500;
4.9.2018;21:44:51 ;5000042;Npc (5000042);38;zfgggggdfgdfgd;9;500;
6.9.2018;18:03:38 ;40;ZZFSFGDFGDFG;5000014;Npc (5000014);3;3;
6.9.2018;18:03:59 ;40;ZZFSFGDFGDFG;5000010;Npc (5000010);3;3;
6.9.2018;18:09:48 ;40;ZZFSFGDFGDFG;41;gg45gdfgdgdfg;3;3;
6.9.2018;18:10:32 ;40;ZZFSFGDFGDFG;41;gg45gdfgdgdfg;3;3;