date;time;r.ProtoId;map.Id;map.GetProtoId();hx;hy;r.GetCurrentCount();r.MaxCount;r.EventNum;
6.9.2018;11:24:32 ;710;3;3;99;55;3;10;1;
6.9.2018;11:24:37 ;710;3;3;101;53;4;10;1;
6.9.2018;11:24:42 ;710;3;3;101;62;5;10;1;
6.9.2018;11:24:47 ;710;3;3;75;98;6;10;1;
6.9.2018;11:24:52 ;710;3;3;99;59;7;10;1;
6.9.2018;11:24:57 ;710;3;3;63;89;8;10;1;
6.9.2018;11:25:02 ;710;3;3;75;95;9;10;1;
6.9.2018;11:25:07 ;710;3;3;101;59;10;10;1;
6.9.2018;14:36:29 ;710;3;3;99;54;1;10;1;
6.9.2018;14:36:34 ;710;3;3;99;59;2;10;1;
6.9.2018;14:36:39 ;710;3;3;55;86;3;10;1;
6.9.2018;14:36:44 ;710;3;3;63;89;4;10;1;
6.9.2018;14:36:49 ;710;3;3;75;88;5;10;1;
6.9.2018;14:36:54 ;710;3;3;55;87;6;10;1;
6.9.2018;14:36:59 ;710;3;3;75;91;7;10;1;
6.9.2018;14:37:04 ;710;3;3;59;87;8;10;1;
6.9.2018;14:37:09 ;710;3;3;63;97;9;10;1;
6.9.2018;14:39:06 ;710;3;3;55;86;1;10;1;
6.9.2018;14:39:11 ;710;3;3;67;93;2;10;1;
6.9.2018;14:39:16 ;710;3;3;97;56;3;10;1;
6.9.2018;14:39:21 ;710;3;3;79;90;4;10;1;
6.9.2018;14:39:26 ;710;3;3;59;87;5;10;1;
6.9.2018;14:39:31 ;710;3;3;79;99;6;10;1;
6.9.2018;17:02:12 ;710;3;3;75;94;1;20;1;
6.9.2018;17:02:12 ;711;3;3;63;91;1;20;2;
6.9.2018;17:03:01 ;710;3;3;75;88;1;20;1;
6.9.2018;17:03:01 ;711;3;3;67;99;1;20;2;
6.9.2018;17:03:01 ;712;3;3;81;60;1;3;3;
6.9.2018;17:03:01 ;713;3;3;108;121;1;3;4;
6.9.2018;17:03:06 ;710;3;3;79;94;2;20;1;
6.9.2018;17:03:08 ;711;3;3;67;92;2;20;2;
6.9.2018;17:03:11 ;710;3;3;75;94;3;20;1;
6.9.2018;17:03:15 ;711;3;3;67;96;3;20;2;
6.9.2018;17:03:16 ;712;3;3;127;83;2;3;3;
6.9.2018;17:03:16 ;710;3;3;71;99;4;20;1;
6.9.2018;17:03:21 ;713;3;3;87;90;2;3;4;
6.9.2018;17:03:21 ;710;3;3;75;98;5;20;1;
6.9.2018;17:03:22 ;711;3;3;67;88;4;20;2;
6.9.2018;17:03:26 ;710;3;3;79;100;6;20;1;
6.9.2018;17:03:29 ;711;3;3;59;91;5;20;2;
6.9.2018;17:03:31 ;712;3;3;91;133;1;3;3;
6.9.2018;17:03:31 ;710;3;3;71;98;7;20;1;
6.9.2018;17:03:36 ;711;3;3;67;98;6;20;2;
6.9.2018;17:03:36 ;710;3;3;79;97;8;20;1;
6.9.2018;17:03:41 ;710;3;3;79;96;9;20;1;
6.9.2018;17:03:43 ;711;3;3;67;86;7;20;2;
6.9.2018;17:03:46 ;712;3;3;127;83;2;3;3;
6.9.2018;17:03:46 ;710;3;3;75;100;10;20;1;
6.9.2018;17:03:50 ;711;3;3;67;94;8;20;2;
6.9.2018;17:03:51 ;710;3;3;75;91;11;20;1;
6.9.2018;17:03:56 ;710;3;3;71;85;12;20;1;
6.9.2018;17:03:57 ;711;3;3;59;92;9;20;2;
6.9.2018;17:04:01 ;710;3;3;75;86;13;20;1;
6.9.2018;17:04:04 ;711;3;3;63;86;10;20;2;
6.9.2018;17:04:11 ;711;3;3;63;85;11;20;2;
6.9.2018;17:04:11 ;710;3;3;79;86;14;20;1;
6.9.2018;17:04:16 ;710;3;3;75;89;15;20;1;
6.9.2018;17:04:18 ;711;3;3;59;93;12;20;2;
6.9.2018;17:04:21 ;713;3;3;100;48;3;3;4;
6.9.2018;17:04:26 ;710;3;3;75;95;16;20;1;
6.9.2018;17:04:36 ;710;3;3;71;90;17;20;1;
6.9.2018;17:04:39 ;711;3;3;63;90;13;20;2;
6.9.2018;17:04:41 ;710;3;3;79;90;18;20;1;
6.9.2018;17:04:51 ;710;3;3;79;98;19;20;1;
6.9.2018;17:05:01 ;712;3;3;81;60;3;3;3;
6.9.2018;17:05:14 ;711;3;3;59;85;14;20;2;
6.9.2018;17:05:16 ;710;3;3;75;97;20;20;1;
6.9.2018;17:05:21 ;711;3;3;55;87;15;20;2;
6.9.2018;17:05:35 ;711;3;3;63;94;16;20;2;
6.9.2018;17:05:56 ;711;3;3;63;95;17;20;2;
6.9.2018;17:06:03 ;711;3;3;67;90;18;20;2;
6.9.2018;17:06:24 ;711;3;3;63;99;19;20;2;
6.9.2018;17:06:43 ;710;3;3;75;94;1;20;1;
6.9.2018;17:06:43 ;711;3;3;63;92;1;20;2;
6.9.2018;17:06:43 ;712;3;3;127;83;1;3;3;
6.9.2018;17:06:43 ;713;3;3;87;90;1;3;4;
6.9.2018;17:06:48 ;710;3;3;79;88;2;20;1;
6.9.2018;17:06:50 ;711;3;3;67;96;2;20;2;
6.9.2018;17:06:53 ;710;3;3;79;94;3;20;1;
6.9.2018;17:06:57 ;711;3;3;63;99;3;20;2;
6.9.2018;17:06:58 ;712;3;3;81;60;2;3;3;
6.9.2018;17:06:58 ;710;3;3;79;92;4;20;1;
6.9.2018;17:07:03 ;710;3;3;79;90;5;20;1;
6.9.2018;17:07:04 ;711;3;3;59;90;4;20;2;
6.9.2018;17:07:08 ;710;3;3;71;97;6;20;1;
6.9.2018;17:07:11 ;711;3;3;63;87;5;20;2;
6.9.2018;17:07:18 ;711;3;3;67;99;6;20;2;
6.9.2018;17:07:18 ;710;3;3;71;91;7;20;1;
6.9.2018;17:07:26 ;710;3;3;71;92;1;20;1;
6.9.2018;17:07:26 ;711;3;3;63;95;1;20;2;
6.9.2018;17:07:26 ;712;3;3;127;83;1;3;3;
6.9.2018;17:07:26 ;713;3;3;108;121;1;3;4;
6.9.2018;17:07:31 ;710;3;3;79;100;2;20;1;
6.9.2018;17:07:33 ;711;3;3;67;95;2;20;2;
6.9.2018;17:07:36 ;710;3;3;71;93;3;20;1;
6.9.2018;17:07:40 ;711;3;3;63;93;3;20;2;
6.9.2018;17:07:41 ;710;3;3;75;90;4;20;1;
6.9.2018;17:07:46 ;713;3;3;100;48;2;3;4;
6.9.2018;17:07:46 ;710;3;3;75;91;5;20;1;
6.9.2018;17:07:47 ;711;3;3;63;98;4;20;2;
6.9.2018;17:07:51 ;710;3;3;71;87;6;20;1;
6.9.2018;17:07:54 ;711;3;3;59;87;5;20;2;
6.9.2018;17:07:56 ;712;3;3;81;60;2;3;3;
6.9.2018;17:07:56 ;710;3;3;75;89;7;20;1;
6.9.2018;17:08:01 ;711;3;3;63;90;6;20;2;
6.9.2018;17:08:01 ;710;3;3;75;98;8;20;1;
6.9.2018;17:08:06 ;710;3;3;75;100;9;20;1;
6.9.2018;17:08:08 ;711;3;3;63;85;7;20;2;
6.9.2018;17:08:15 ;711;3;3;67;96;8;20;2;
6.9.2018;17:08:26 ;710;3;3;71;87;1;20;1;
6.9.2018;17:08:26 ;711;3;3;63;96;1;20;2;
6.9.2018;17:08:26 ;712;3;3;81;60;1;3;3;
6.9.2018;17:08:26 ;713;3;3;87;90;1;3;4;
6.9.2018;17:08:31 ;710;3;3;79;94;2;20;1;
6.9.2018;17:08:33 ;711;3;3;67;91;2;20;2;
6.9.2018;17:08:36 ;710;3;3;71;85;3;20;1;
6.9.2018;17:08:41 ;712;3;3;91;133;2;3;3;
6.9.2018;17:08:41 ;710;3;3;79;86;4;20;1;
6.9.2018;17:08:46 ;713;3;3;108;121;2;3;4;
6.9.2018;17:08:46 ;710;3;3;75;94;5;20;1;
6.9.2018;17:08:47 ;711;3;3;67;99;3;20;2;
6.9.2018;17:08:51 ;710;3;3;75;97;6;20;1;
6.9.2018;17:08:54 ;711;3;3;67;98;4;20;2;
6.9.2018;17:08:56 ;712;3;3;127;83;3;3;3;
6.9.2018;17:08:56 ;710;3;3;71;89;7;20;1;
6.9.2018;17:09:01 ;711;3;3;67;87;5;20;2;
6.9.2018;17:09:01 ;710;3;3;75;86;8;20;1;
6.9.2018;17:09:06 ;713;3;3;100;48;3;3;4;
6.9.2018;17:09:06 ;710;3;3;71;86;9;20;1;
6.9.2018;17:09:08 ;711;3;3;67;96;6;20;2;
6.9.2018;17:09:11 ;710;3;3;79;99;10;20;1;
6.9.2018;17:09:15 ;711;3;3;63;97;7;20;2;
6.9.2018;17:09:16 ;710;3;3;79;100;11;20;1;
6.9.2018;17:09:21 ;710;3;3;79;90;12;20;1;
6.9.2018;17:09:22 ;711;3;3;63;88;8;20;2;
6.9.2018;17:09:26 ;710;3;3;71;96;13;20;1;
6.9.2018;17:09:29 ;711;3;3;59;90;9;20;2;
6.9.2018;17:09:31 ;710;3;3;71;98;13;20;1;
6.9.2018;17:09:36 ;711;3;3;55;88;10;20;2;
6.9.2018;17:09:36 ;710;3;3;75;87;14;20;1;
6.9.2018;17:09:41 ;710;3;3;75;99;15;20;1;
6.9.2018;17:09:43 ;711;3;3;55;87;11;20;2;
6.9.2018;17:09:46 ;710;3;3;71;91;16;20;1;
6.9.2018;17:09:50 ;711;3;3;63;94;12;20;2;
6.9.2018;17:09:51 ;710;3;3;71;92;17;20;1;
6.9.2018;17:09:56 ;710;3;3;75;88;18;20;1;
6.9.2018;17:09:57 ;711;3;3;63;91;13;20;2;
6.9.2018;17:10:01 ;710;3;3;79;92;19;20;1;
6.9.2018;17:10:04 ;711;3;3;63;90;14;20;2;
6.9.2018;17:10:06 ;710;3;3;79;91;20;20;1;
6.9.2018;17:10:11 ;711;3;3;67;89;15;20;2;
6.9.2018;17:10:18 ;711;3;3;59;92;16;20;2;
6.9.2018;17:10:32 ;711;3;3;59;88;17;20;2;
6.9.2018;17:10:39 ;711;3;3;59;94;18;20;2;
6.9.2018;17:10:46 ;711;3;3;63;99;19;20;2;
6.9.2018;17:10:53 ;711;3;3;63;89;20;20;2;
6.9.2018;18:01:29 ;710;3;3;79;96;1;20;1;
6.9.2018;18:01:29 ;711;3;3;59;90;1;20;2;
6.9.2018;18:01:29 ;712;3;3;127;83;1;3;3;
6.9.2018;18:01:29 ;713;3;3;100;48;1;3;4;
6.9.2018;18:01:34 ;710;3;3;79;89;2;20;1;
6.9.2018;18:01:36 ;711;3;3;55;87;2;20;2;
6.9.2018;18:01:39 ;710;3;3;79;91;3;20;1;
6.9.2018;18:01:43 ;711;3;3;59;88;3;20;2;
6.9.2018;18:01:44 ;712;3;3;91;133;2;3;3;
6.9.2018;18:01:44 ;710;3;3;71;88;4;20;1;
6.9.2018;18:01:49 ;710;3;3;79;92;5;20;1;
6.9.2018;18:01:54 ;710;3;3;71;93;6;20;1;
6.9.2018;18:01:59 ;710;3;3;71;97;7;20;1;
6.9.2018;18:02:04 ;711;3;3;67;94;4;20;2;
6.9.2018;18:02:04 ;710;3;3;71;89;8;20;1;
6.9.2018;18:02:09 ;713;3;3;87;90;2;3;4;
6.9.2018;18:02:09 ;710;3;3;75;87;9;20;1;
6.9.2018;18:02:11 ;711;3;3;63;92;5;20;2;
6.9.2018;18:02:18 ;711;3;3;63;89;6;20;2;
6.9.2018;18:02:24 ;710;3;3;75;93;10;20;1;
6.9.2018;18:02:25 ;711;3;3;59;89;7;20;2;
6.9.2018;18:02:29 ;713;3;3;108;121;3;3;4;
6.9.2018;18:02:29 ;710;3;3;71;85;11;20;1;
6.9.2018;18:02:34 ;710;3;3;79;98;12;20;1;
6.9.2018;18:02:39 ;711;3;3;67;91;8;20;2;
6.9.2018;18:02:39 ;710;3;3;75;90;13;20;1;
6.9.2018;18:02:49 ;710;3;3;71;87;14;20;1;
6.9.2018;18:02:53 ;711;3;3;67;98;9;20;2;
6.9.2018;18:02:54 ;710;3;3;79;100;15;20;1;
6.9.2018;18:02:59 ;710;3;3;75;91;16;20;1;
6.9.2018;18:03:04 ;710;3;3;71;91;17;20;1;
6.9.2018;18:03:09 ;710;3;3;75;88;18;20;1;
6.9.2018;18:03:14 ;711;3;3;63;97;10;20;2;
6.9.2018;18:03:14 ;710;3;3;79;93;19;20;1;
6.9.2018;18:03:19 ;710;3;3;71;94;20;20;1;
6.9.2018;18:03:21 ;711;3;3;55;88;11;20;2;
6.9.2018;18:03:35 ;711;3;3;67;95;12;20;2;
6.9.2018;18:03:56 ;711;3;3;59;86;13;20;2;
6.9.2018;18:04:10 ;711;3;3;67;90;14;20;2;
6.9.2018;18:04:17 ;711;3;3;67;93;15;20;2;
6.9.2018;18:04:24 ;711;3;3;67;86;16;20;2;
6.9.2018;18:04:29 ;712;3;3;81;60;3;3;3;
6.9.2018;18:04:31 ;711;3;3;67;89;17;20;2;
6.9.2018;18:04:38 ;711;3;3;67;97;18;20;2;
6.9.2018;18:04:52 ;711;3;3;67;96;19;20;2;
6.9.2018;18:04:59 ;711;3;3;67;85;20;20;2;
6.9.2018;18:05:17 ;710;3;3;75;94;1;20;1;
6.9.2018;18:05:17 ;711;3;3;63;94;1;20;2;
6.9.2018;18:05:17 ;712;3;3;127;83;1;3;3;
6.9.2018;18:05:17 ;713;3;3;87;90;1;3;4;
6.9.2018;18:05:22 ;710;3;3;79;92;2;20;1;
6.9.2018;18:05:24 ;711;3;3;67;88;2;20;2;
6.9.2018;18:05:27 ;710;3;3;75;98;3;20;1;
6.9.2018;18:05:31 ;711;3;3;55;87;3;20;2;
6.9.2018;18:05:37 ;710;3;3;75;92;4;20;1;
6.9.2018;18:05:38 ;711;3;3;63;98;4;20;2;
6.9.2018;18:05:42 ;710;3;3;75;91;5;20;1;
6.9.2018;18:05:45 ;711;3;3;63;97;5;20;2;
6.9.2018;18:05:47 ;710;3;3;71;86;6;20;1;
6.9.2018;18:05:52 ;711;3;3;67;85;6;20;2;
6.9.2018;18:05:52 ;710;3;3;79;86;7;20;1;
6.9.2018;18:05:57 ;713;3;3;100;48;2;3;4;
6.9.2018;18:05:57 ;710;3;3;71;93;8;20;1;
6.9.2018;18:05:59 ;711;3;3;63;87;7;20;2;
6.9.2018;18:06:35 ;710;3;3;75;96;1;20;1;
6.9.2018;18:06:35 ;711;3;3;67;91;1;20;2;
6.9.2018;18:06:35 ;712;3;3;91;133;1;3;3;
6.9.2018;18:06:35 ;713;3;3;108;121;1;3;4;
6.9.2018;18:06:41 ;710;3;3;79;87;2;20;1;
6.9.2018;18:06:43 ;711;3;3;55;85;2;20;2;
6.9.2018;18:06:46 ;710;3;3;71;93;3;20;1;
6.9.2018;18:06:50 ;711;3;3;59;92;3;20;2;
6.9.2018;18:06:50 ;712;3;3;127;83;2;3;3;
6.9.2018;18:06:50 ;710;3;3;71;99;4;20;1;
6.9.2018;18:06:55 ;710;3;3;71;92;5;20;1;
6.9.2018;18:06:57 ;711;3;3;55;87;4;20;2;
6.9.2018;18:07:01 ;710;3;3;71;87;6;20;1;
6.9.2018;18:07:03 ;711;3;3;67;98;5;20;2;
6.9.2018;18:07:05 ;712;3;3;82;59;3;3;3;
6.9.2018;18:07:05 ;710;3;3;79;96;7;20;1;
6.9.2018;18:07:10 ;711;3;3;59;87;6;20;2;
6.9.2018;18:07:10 ;710;3;3;71;85;8;20;1;
6.9.2018;18:07:16 ;710;3;3;71;96;9;20;1;
6.9.2018;18:07:17 ;711;3;3;59;94;7;20;2;
6.9.2018;18:07:25 ;710;3;3;75;98;10;20;1;
6.9.2018;18:07:30 ;710;3;3;75;86;11;20;1;
6.9.2018;18:07:35 ;713;3;3;100;48;2;3;4;
6.9.2018;18:07:38 ;711;3;3;59;93;8;20;2;
6.9.2018;18:07:45 ;711;3;3;63;85;9;20;2;
6.9.2018;18:07:46 ;710;3;3;75;100;12;20;1;
6.9.2018;18:07:52 ;711;3;3;63;87;10;20;2;
6.9.2018;18:07:55 ;710;3;3;79;100;13;20;1;
6.9.2018;18:08:00 ;711;3;3;59;88;11;20;2;
6.9.2018;18:08:05 ;710;3;3;79;89;14;20;1;
6.9.2018;18:08:06 ;711;3;3;63;99;12;20;2;
6.9.2018;18:08:10 ;710;3;3;75;91;15;20;1;
6.9.2018;18:08:15 ;710;3;3;79;97;16;20;1;
6.9.2018;18:08:27 ;711;3;3;63;98;13;20;2;
6.9.2018;18:08:30 ;710;3;3;71;95;17;20;1;
6.9.2018;18:08:34 ;711;3;3;67;93;14;20;2;
6.9.2018;18:08:51 ;710;3;3;71;97;18;20;1;
6.9.2018;18:08:56 ;711;3;3;67;99;15;20;2;
6.9.2018;18:09:03 ;711;3;3;63;96;16;20;2;
6.9.2018;18:09:05 ;710;3;3;75;93;19;20;1;
6.9.2018;18:09:11 ;710;3;3;71;88;20;20;1;
6.9.2018;18:09:23 ;711;3;3;67;85;17;20;2;
6.9.2018;18:09:31 ;711;3;3;67;89;18;20;2;
6.9.2018;18:09:38 ;711;3;3;63;89;19;20;2;
6.9.2018;18:09:44 ;711;3;3;55;88;20;20;2;
6.9.2018;18:10:55 ;713;3;3;87;90;3;3;4;
6.9.2018;18:30:57 ;710;3;3;75;90;20;20;1;
6.9.2018;18:31:32 ;710;3;3;75;92;19;20;1;
6.9.2018;18:31:37 ;710;3;3;75;97;20;20;1;
6.9.2018;18:32:32 ;710;3;3;79;94;20;20;1;
6.9.2018;18:32:59 ;711;3;3;63;90;20;20;2;
6.9.2018;18:52:37 ;711;3;3;63;92;18;20;2;
6.9.2018;18:52:44 ;711;3;3;67;94;19;20;2;
6.9.2018;18:52:51 ;711;3;3;67;96;20;20;2;
6.9.2018;19:09:11 ;710;3;3;71;87;1;20;1;
6.9.2018;19:09:11 ;711;3;3;55;86;1;20;2;
6.9.2018;19:09:11 ;712;3;3;127;83;1;3;3;
6.9.2018;19:09:11 ;713;3;3;100;48;1;3;4;
6.9.2018;19:09:16 ;710;3;3;75;86;2;20;1;
6.9.2018;19:09:18 ;711;3;3;63;94;2;20;2;
6.9.2018;19:09:21 ;710;3;3;79;92;3;20;1;
6.9.2018;19:09:25 ;711;3;3;67;98;3;20;2;
6.9.2018;19:09:26 ;710;3;3;75;98;4;20;1;
6.9.2018;19:09:31 ;710;3;3;71;91;5;20;1;
6.9.2018;19:09:32 ;711;3;3;63;90;4;20;2;
6.9.2018;19:09:36 ;710;3;3;75;95;6;20;1;
6.9.2018;19:09:39 ;711;3;3;67;85;5;20;2;
6.9.2018;19:09:41 ;712;3;3;91;133;2;3;3;
6.9.2018;19:09:41 ;710;3;3;79;100;7;20;1;
6.9.2018;19:09:46 ;710;3;3;79;91;8;20;1;
6.9.2018;19:09:51 ;710;3;3;71;92;9;20;1;
6.9.2018;19:09:53 ;711;3;3;67;92;6;20;2;
6.9.2018;19:10:00 ;711;3;3;63;91;7;20;2;
6.9.2018;19:10:01 ;710;3;3;75;88;10;20;1;
6.9.2018;19:10:06 ;710;3;3;75;93;11;20;1;
6.9.2018;19:10:07 ;711;3;3;59;92;8;20;2;
6.9.2018;19:10:11 ;712;3;3;82;59;3;3;3;
6.9.2018;19:10:11 ;710;3;3;71;86;12;20;1;
6.9.2018;19:10:14 ;711;3;3;63;87;9;20;2;
6.9.2018;19:10:16 ;710;3;3;79;88;13;20;1;
6.9.2018;19:10:21 ;711;3;3;67;95;10;20;2;
6.9.2018;19:10:21 ;710;3;3;75;89;14;20;1;
6.9.2018;19:10:28 ;711;3;3;63;89;11;20;2;
6.9.2018;19:10:36 ;710;3;3;79;97;15;20;1;
6.9.2018;19:10:41 ;710;3;3;79;98;16;20;1;
6.9.2018;19:10:46 ;710;3;3;75;90;17;20;1;
6.9.2018;19:10:51 ;713;3;3;108;121;2;3;4;
6.9.2018;19:10:56 ;711;3;3;59;94;12;20;2;
6.9.2018;19:10:56 ;710;3;3;79;93;18;20;1;
6.9.2018;19:11:03 ;711;3;3;59;93;13;20;2;
6.9.2018;19:11:10 ;711;3;3;67;99;14;20;2;
6.9.2018;19:11:17 ;711;3;3;59;91;15;20;2;
6.9.2018;19:11:26 ;710;3;3;79;89;19;20;1;
6.9.2018;19:11:31 ;711;3;3;63;93;16;20;2;
6.9.2018;19:11:36 ;710;3;3;79;94;20;20;1;
6.9.2018;19:11:38 ;711;3;3;63;99;17;20;2;
6.9.2018;19:12:02 ;710;3;3;79;93;1;20;1;
6.9.2018;19:12:02 ;711;3;3;63;90;1;20;2;
6.9.2018;19:12:02 ;712;3;3;127;83;1;3;3;
6.9.2018;19:12:02 ;713;3;3;87;90;1;3;4;
6.9.2018;19:12:07 ;710;3;3;79;96;2;20;1;
6.9.2018;19:12:09 ;711;3;3;63;93;2;20;2;
6.9.2018;19:12:12 ;710;3;3;79;89;3;20;1;
6.9.2018;19:17:40 ;710;3;3;71;89;1;20;1;
6.9.2018;19:17:40 ;711;3;3;55;85;1;20;2;
6.9.2018;19:17:40 ;712;3;3;91;133;1;3;3;
6.9.2018;19:17:40 ;713;3;3;108;121;1;3;4;
6.9.2018;19:17:45 ;710;3;3;71;87;2;20;1;
6.9.2018;19:17:47 ;711;3;3;63;87;2;20;2;
6.9.2018;19:17:50 ;710;3;3;79;96;3;20;1;
6.9.2018;19:17:54 ;711;3;3;67;88;3;20;2;
6.9.2018;19:17:55 ;712;3;3;82;59;2;3;3;
6.9.2018;19:17:55 ;710;3;3;75;91;4;20;1;
6.9.2018;19:18:00 ;713;3;3;100;48;2;3;4;
6.9.2018;19:18:00 ;710;3;3;75;98;5;20;1;
6.9.2018;19:18:01 ;711;3;3;67;86;4;20;2;
6.9.2018;19:18:05 ;710;3;3;75;89;6;20;1;
6.9.2018;19:18:08 ;711;3;3;59;89;5;20;2;
6.9.2018;19:18:10 ;712;3;3;127;83;3;3;3;
6.9.2018;19:18:10 ;710;3;3;75;100;7;20;1;
